tvMax,PSNR,dx,dy,match,q
0.174,25.443,2, 0, 0.99749,25.269
0.174,25.483,2, 0, 0.997328,25.309
0.176,25.829,2, 1, 0.990078,25.653
0.176,26.161,2, 1, 0.993418,25.985
0.177,26.504,2, 1, 0.971379,26.327
0.177,26.801,2, 0, 0.991648,26.624
0.178,25.248,2, 0, 0.99489,25.07
0.178,25.624,2, 1, 0.990664,25.446
0.179,25.914,2, 1, 0.991599,25.735
0.179,26.606,2, 1, 0.988669,26.427
0.18,25.789,2, 0, 0.979007,25.609
0.18,25.831,2, 1, 0.97849,25.651
0.18,25.872,2, 0, 0.990471,25.692
0.18,26.369,2, 1, 0.990911,26.189
0.187,25.1,2, 0, 0.997603,24.913
0.187,25.65,2, 0, 0.997006,25.463
0.187,25.961,2, 0, 0.998312,25.774
0.187,25.97,2, 0, 0.989374,25.783
0.187,26.026,2, 0, 0.991066,25.839
0.187,26.259,2, 0, 0.989023,26.072
0.188,25.239,2, 0, 0.996303,25.051
0.188,25.643,2, 0, 0.992641,25.455
0.189,27.155,1, 0, 0.984032,26.966
0.189,27.234,1, 1, 0.98702,27.045
0.191,26.337,2, 0, 0.980032,26.146
0.191,27.166,1, 0, 0.97326,26.975
0.197,24.073,3, 0, 0.990058,23.876
0.197,24.257,2, 0, 0.987903,24.06
0.199,27.041,1, 1, 0.985269,26.842
0.199,27.156,1, 0, 0.985746,26.957
0.2,25.859,2, 0, 0.994524,25.659
0.2,26.458,2, 1, 0.98849,26.258
0.204,26.363,2, 0, 0.989427,26.159
0.204,26.969,1, 1, 0.985784,26.765
0.205,25.944,2, 0, 0.971835,25.739
0.205,26.233,2, 0, 0.989713,26.028
0.205,26.344,2, 0, 0.987783,26.139
0.205,26.613,2, 1, 0.988658,26.408
0.205,26.747,1, 0, 0.972465,26.542
0.205,26.978,1, 1, 0.983371,26.773
0.206,26.428,2, 0, 0.980285,26.222
0.206,26.667,1, 1, 0.988943,26.461
0.207,24.466,2, -1, 0.995376,24.259
0.207,27.023,1, 1, 0.989052,26.816
0.207,27.209,1, 0, 0.988317,27.002
0.207,27.417,1, 1, 0.985993,27.21
0.208,27.071,1, 1, 0.990745,26.863
0.208,27.134,1, 1, 0.988297,26.926
0.209,26.274,2, 0, 0.983235,26.065
0.209,26.426,2, 0, 0.981921,26.217
0.21,25.465,2, 0, 0.998395,25.255
0.21,25.754,2, 0, 0.994801,25.544
0.21,26.274,2, 0, 0.986,26.064
0.21,26.347,2, 1, 0.983116,26.137
0.211,25.262,2, 0, 0.9922,25.051
0.211,25.428,2, 0, 0.982156,25.217
0.211,25.792,2, 0, 0.983654,25.581
0.211,26.094,2, 1, 0.991597,25.883
0.212,26.148,2, 0, 0.995858,25.936
0.212,26.382,2, 0, 0.996035,26.17
0.215,25.658,2, 0, 0.987138,25.443
0.215,25.758,2, 0, 0.991011,25.543
0.223,25.677,2, 0, 0.993744,25.454
0.223,25.975,2, 0, 0.984404,25.752
0.233,25.089,2, 0, 0.998164,24.856
0.233,25.419,2, 0, 0.994576,25.186
0.235,25.828,2, 0, 0.986314,25.593
0.235,25.828,2, 0, 0.99253,25.593
0.237,26.833,2, 0, 0.992474,26.596
0.237,27.252,2, 0, 0.987852,27.015
0.238,25.844,2, 0, 0.99435,25.606
0.238,25.865,2, 0, 0.995183,25.627
0.245,25.003,2, 0, 0.995237,24.758
0.245,25.187,2, 0, 0.994253,24.942
0.246,24.694,2, 0, 0.994272,24.448
0.246,24.73,2, 0, 0.994599,24.484
0.248,26.415,2, 1, 0.984718,26.167
0.248,26.457,2, 0, 0.980093,26.209
0.248,26.555,2, 0, 0.978915,26.307
0.248,27.246,1, 1, 0.986557,26.998
0.25,15.368,999,999,0,0
0.251,25.714,2, 0, 0.99373,25.463
0.251,25.774,2, 0, 0.993978,25.523
0.252,26.22,2, 0, 0.989869,25.968
0.252,26.251,2, 0, 0.991855,25.999
0.255,25.399,2, 0, 0.997575,25.144
0.255,25.71,2, 0, 0.994864,25.455
0.267,25.894,2, 0, 0.995489,25.627
0.267,27.663,1, 0, 0.990738,27.396
0.27,24.211,2, 0, 0.993138,23.941
0.27,24.42,2, 0, 0.994957,24.15
0.271,25.08,2, 0, 0.99536,24.809
0.271,25.129,2, 0, 0.995333,24.858
0.271,25.201,2, 0, 0.995795,24.93
0.271,25.253,2, 0, 0.993583,24.982
0.274,26.329,2, 0, 0.988477,26.055
0.274,26.418,2, 0, 0.988853,26.144
0.274,26.4,2, 1, 0.98701,26.126
