FEEDRATE,PSNR,DX,DY,MATCH
3180,33.29866368114719,-1,1,0.986497
3180,35.02780418865387,-1,0,0.979428
3420,32.558970707223985,-1,0,0.97388
3420,32.63722871108974,-1,0,0.981287
3420,32.76389219945194,-1,0,0.976481
3420,32.88909504939983,-1,0,0.984266
3420,34.435543983304854,-1,0,0.981205
3420,34.51398356351109,-1,0,0.983662
3480,32.00030183231672,-1,1,0.976928
3480,32.39927110178439,-1,1,0.98399
3480,32.73451181814902,-1,1,0.988654
3480,32.84392699956976,-1,0,0.988033
3480,33.02537417139444,-1,0,0.978859
3480,33.58490787377288,-1,0,0.987946
3540,31.425831367323852,-1,1,0.976241
3540,31.67998254189858,-1,1,0.97698
3540,31.692381661810334,-1,1,0.976797
3540,31.852900625651365,-1,1,0.978058
3540,33.18150088982451,-1,0,0.971586
3540,33.73229783661213,0,0,0.974339
3540,33.764046454058956,-1,0,0.98906
3540,33.88714687278817,-1,0,0.989513
3540,34.700978587110534,0,0,0.97637
3540,35.654067977005084,-1,0,0.981593
3540,36.20862648872265,0,0,0.983072
3540,36.80876990214355,0,0,0.987097
3600,31.269488090254907,-1,0,0.967529
3600,31.40662905895528,-1,0,0.966347
3600,31.947801979785314,-1,0,0.973868
3600,33.37427450092737,-1,0,0.978493
3600,34.1641633625781,-1,0,0.978821
3600,34.16858958044542,-1,0,0.987153
3660,32.98572342879257,-1,0,0.978403
3660,33.47656176566304,-1,0,0.981366
3660,33.5032886262693,-1,0,0.989747
3660,33.757877459017685,-1,0,0.988877
3660,33.97337483547225,-1,0,0.982795
3660,34.28787406534843,-1,0,0.976348
3660,34.43247448893836,-1,0,0.982518
3660,35.06590908811669,-1,0,0.987271
3660,35.199224313678414,-1,0,0.98931
3660,35.515737903764524,-1,0,0.979568
3660,36.4572929820948,-1,0,0.986173
3660,37.184441030273796,-1,0,0.98984
3720,31.604559903581787,-1,0,0.965912
3720,32.88522192982018,0,0,0.969786
3720,33.20833381552549,-1,0,0.9798
3720,35.115700117238845,0,0,0.981903
3720,35.176034734214824,0,0,0.980412
3720,35.64258708277049,-1,0,0.983135
3840,33.872882323485925,-1,0,0.980909
3840,34.55944240200802,-1,0,0.987556
3840,35.41643335914377,-1,0,0.991759
3840,35.67361801561522,-1,0,0.991733
3840,36.01858669621863,-1,0,0.991427
3840,37.110983510085106,-1,0,0.992279
3900,33.321086823368155,-1,0,0.979784
3900,33.724744859788366,-1,0,0.988054
3900,35.22835381075529,0,0,0.984183
