XP,Z,REP,IMG,MEAN,MB,MG,MR,STDDEV,SB,SG,SR
BED,-100.3,REP1,IMG3,mean,41.962993750000003, 26.762206250000002, 64.188393750000003, stdDev,6.2896789892220157, 4.0535799464745761, 11.311567156895645
BED,-100.3,REP2,IMG1,mean,44.580637500000002, 27.689206250000002, 67.80130625000001, stdDev,7.8389674124589614, 5.0069814753962119, 12.034340532148413
BED,-100.3,REP2,IMG2,mean,46.156500000000001, 30.698118750000003, 69.24350625000001, stdDev,7.7085298695665632, 4.9689208044502253, 11.81551039761761
BED,-100.3,REP2,IMG3,mean,46.085825, 30.288293750000001, 68.994556250000002, stdDev,7.7166765235673385, 4.9730290531738293, 11.909652140830387
BED,-100.3,REP3,IMG1,mean,46.705412500000001, 30.694906250000003, 69.338837499999997, stdDev,8.1074752978250757, 5.246733417442778, 11.954041226656125
BED,-100.3,REP3,IMG2,mean,45.255906250000002, 27.892906250000003, 67.942818750000001, stdDev,8.2854657829968055, 5.3632196187281869, 12.234405852130649
BED,-100.3,REP3,IMG3,mean,46.662512500000005, 30.53976875, 69.233762499999997, stdDev,8.1576008842884207, 5.3273955594195765, 11.946640431250742
BED,-100.4,REP1,IMG1,mean,37.980375000000002, 25.065137500000002, 62.388462500000003, stdDev,4.4823935971057951, 2.8451396461498448, 11.221550556233019
BED,-100.4,REP1,IMG2,mean,36.370362499999999, 22.135506250000002, 60.884100000000004, stdDev,4.6263424125969861, 2.7313699504480931, 11.482595185322861
BED,-100.4,REP1,IMG3,mean,37.2997625, 23.923943749999999, 61.7087, stdDev,4.569357716746838, 2.846798060424375, 11.210332033887317
BED,-100.4,REP2,IMG1,mean,38.059543750000003, 23.53054375, 64.538600000000002, stdDev,5.262818711663531, 3.1543647663730998, 11.963147998750172
BED,-100.4,REP2,IMG2,mean,39.703225000000003, 26.477518750000002, 65.867000000000004, stdDev,5.1813981799679061, 3.2315564505975098, 11.648771866596029
BED,-100.4,REP2,IMG3,mean,38.669000000000004, 24.563331250000001, 64.894625000000005, stdDev,5.2975915754236809, 3.1628530084045035, 11.882427513322945
BED,-100.4,REP3,IMG1,mean,39.57121875, 25.105812500000003, 65.428162499999999, stdDev,5.6888676720107076, 3.4706344830367275, 11.793366329152784
BED,-100.4,REP3,IMG2,mean,38.795725000000004, 23.508375000000001, 64.662350000000004, stdDev,5.830964476343075, 3.4817333843037201, 11.913786340937111
BED,-100.4,REP3,IMG3,mean,40.191031250000002, 26.3083125, 66.039906250000001, stdDev,5.7177990356013266, 3.5199972872637062, 11.542327050521953
BED,-100.5,REP1,IMG1,mean,34.030050000000003, 21.8044625, 59.822137500000004, stdDev,3.804674361558428, 2.0674386535260889, 11.7415316262868
BED,-100.5,REP1,IMG2,mean,32.53826875, 19.438906250000002, 58.457650000000001, stdDev,3.9036246621279242, 1.9855805331718148, 11.905531549557129
BED,-100.5,REP1,IMG3,mean,34.055237500000004, 22.0779, 59.885156250000001, stdDev,3.7954609494228189, 2.1353586560575732, 11.616052671328836
